Название,Тип,URL
Неро,Персонаж,https://devilmaycry.fandom.com/ru/wiki/Неро
Данте,Персонаж,https://devilmaycry.fandom.com/ru/wiki/Данте
Вергилий,Персонаж,https://devilmaycry.fandom.com/ru/wiki/Вергилий
V,Персонаж,https://devilmaycry.fandom.com/ru/wiki/V
Кирие,Персонаж,https://devilmaycry.fandom.com/ru/wiki/Кирие
Спарда,Персонаж,https://devilmaycry.fandom.com/ru/wiki/Спарда
Ева,Персонаж,https://devilmaycry.fandom.com/ru/wiki/Ева
Леди,Персонаж,https://devilmaycry.fandom.com/ru/wiki/Леди
Триш,Персонаж,https://devilmaycry.fandom.com/ru/wiki/Триш
Кредо,Персонаж,https://devilmaycry.fandom.com/ru/wiki/Кредо
Нико,Персонаж,https://devilmaycry.fandom.com/ru/wiki/Нико
Эбони и Айвори,Оружие,https://devilmaycry.fandom.com/ru/wiki/Эбони_и_Айвори
Мятежник,Оружие,https://devilmaycry.fandom.com/ru/wiki/Мятежник
Ямато,Оружие,https://devilmaycry.fandom.com/ru/wiki/Ямато
Синяя роза,Оружие,https://devilmaycry.fandom.com/ru/wiki/Синяя_роза
Трость V,Оружие,https://devilmaycry.fandom.com/ru/wiki/Трость_V
Алая королева,Оружие,https://devilmaycry.fandom.com/ru/wiki/Алая_королева
Неван (демоническое оружие),Оружие,https://devilmaycry.fandom.com/ru/wiki/Неван_(демоническое_оружие)
Фортуна,Локация,https://devilmaycry.fandom.com/ru/wiki/Фортуна
Клипот,Локация,https://devilmaycry.fandom.com/ru/wiki/Клипот
Ред-Грейв Сити,Локация,https://devilmaycry.fandom.com/ru/wiki/Ред-Грейв_Сити
Ехидна,Враги,https://devilmaycry.fandom.com/ru/wiki/Ехидна
Цербер,Враги,https://devilmaycry.fandom.com/ru/wiki/Цербер
Голиаф,Враги,https://devilmaycry.fandom.com/ru/wiki/Голиаф
Малфас,Враги,https://devilmaycry.fandom.com/ru/wiki/Малфас
Devil May Cry 5,Игра,https://devilmaycry.fandom.com/ru/wiki/Devil_May_Cry_5
Devil May Cry 4,Игра,https://devilmaycry.fandom.com/ru/wiki/Devil_May_Cry_4
Devil May Cry 3,Игра,https://devilmaycry.fandom.com/ru/wiki/Devil_May_Cry_3:_Dante%27s_Awakening
